97,10,01/10/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
98,10,06/12/2024,07/12/2024,100.00,10.00,0.00,20.00,130.00,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
88,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
89,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
90,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
91,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
92,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
93,10,26/11/2024,25/11/2024,110.00,0.00,0.00,13.20,123.20,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
94,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
95,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
96,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
97,10,01/10/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
98,10,06/12/2024,07/12/2024,100.00,10.00,0.00,20.00,130.00,,quote,open,79,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
88,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
89,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
90,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
91,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
92,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
93,10,26/11/2024,25/11/2024,110.00,0.00,0.00,13.20,123.20,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
94,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
95,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
96,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
97,10,01/10/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
98,10,06/12/2024,07/12/2024,100.00,10.00,0.00,20.00,130.00,,quote,open,81,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
88,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
89,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
90,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
91,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
92,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
93,10,26/11/2024,25/11/2024,110.00,0.00,0.00,13.20,123.20,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
94,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
95,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
96,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
97,10,01/10/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
98,10,06/12/2024,07/12/2024,100.00,10.00,0.00,20.00,130.00,,quote,open,82,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
88,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
89,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
90,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
91,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
92,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
93,10,26/11/2024,25/11/2024,110.00,0.00,0.00,13.20,123.20,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
94,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
95,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
96,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
97,10,01/10/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
98,10,06/12/2024,07/12/2024,100.00,10.00,0.00,20.00,130.00,,quote,open,83,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
88,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
89,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
90,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
91,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
92,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
93,10,26/11/2024,25/11/2024,110.00,0.00,0.00,13.20,123.20,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
94,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
95,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
96,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
97,10,01/10/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
98,10,06/12/2024,07/12/2024,100.00,10.00,0.00,20.00,130.00,,quote,open,84,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley","1702 Modoc Alley","White Bird",US,55550
88,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
89,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
90,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
91,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
92,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
93,10,26/11/2024,25/11/2024,110.00,0.00,0.00,13.20,123.20,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
94,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
95,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
96,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
97,10,01/10/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
98,10,06/12/2024,07/12/2024,100.00,10.00,0.00,20.00,130.00,,quote,open,85,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
88,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
89,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
90,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
91,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
92,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
93,10,26/11/2024,25/11/2024,110.00,0.00,0.00,13.20,123.20,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
94,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
95,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
96,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
97,10,01/10/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
98,10,06/12/2024,07/12/2024,100.00,10.00,0.00,20.00,130.00,,quote,open,86,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
88,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,87,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
89,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,87,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
90,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,87,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
91,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,87,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
92,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,87,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
93,10,26/11/2024,25/11/2024,110.00,0.00,0.00,13.20,123.20,,quote,open,87,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
94,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,87,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
95,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,87,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
96,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,87,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
97,10,01/10/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,87,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
